date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:59	116408/116408	---M-Z	200	added ('OK')	text/html	etag:W/%22c3b67e58cc04f75e7b104dde9e7e9bd6%22	https://ellipsoid-vibraphone-h3bs.squarespace.com/	ellipsoid-vibraphone-h3bs.squarespace.com/index.html	(from )
09:08:00	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Fri,%2010%20Jan%202025%2008:07:59%20GMT	http://static1.squarespace.com/static/5e640582bf292010870f89de/t/5e6448d924dfaf3526127517/1583630556513/1911+Portrait.jpg?format=1500w	static1.squarespace.com/static/5e640582bf292010870f89de/t/5e6448d924dfaf3526127517/1583630556513/1911+Portrait.026f7.delayed	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
09:08:01	153352/153352	---M--	200	added ('OK')	image/jpeg	etag:CLT4ydKnm+sCEAE=	https://images.squarespace-cdn.com/content/5e640582bf292010870f89de/1583630554833-WQ1E8LFPFJ9375LGB3D1/1911+Portrait.jpg?content-type=image%2Fjpeg	images.squarespace-cdn.com/content/5e640582bf292010870f89de/1583630554833-WQ1E8LFPFJ9375LGB3D1/1911+Portraitee8a.jpg	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
09:08:01	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
09:08:02	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
09:08:03	45781/45781	---M-Z	200	added ('OK')	text/javascript	etag:%22d0a0a6e48799c824beea0c4bd95c3206%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-0a8d3ce75d534a9041c2-min.en-US.js	assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-0a8d3ce75d534a9041c2-min.en-US.js	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
09:08:04	1196442/1196442	---M-Z	200	added ('OK')	text/javascript	etag:%2250d4789a0cb66d279781e1b02e14d541%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
09:08:05	89739/89739	---M-Z	200	added ('OK')	text/javascript	etag:%22c26cd9039436e210cc1ab908d060ec0e%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-907dfe7701e90c1e5cbd-min.en-US.js	assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-907dfe7701e90c1e5cbd-min.en-US.js	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
09:08:06	245728/245728	---M-Z	200	added ('OK')	text/javascript	etag:%22e99f3bf72eaae471251ad87586359fe8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
09:08:08	664418/664418	---M-Z	200	added ('OK')	text/javascript	etag:%22a956f96f534ad281ef341236e4660ac8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-fe1baf648d88cd20b1a8-min.en-US.js	assets.squarespace.com/universal/scripts-compressed/common-vendors-fe1baf648d88cd20b1a8-min.en-US.js	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
09:08:11	32460/32460	---M-Z	200	added ('OK')	text/css	etag:%22afcab3a3d1d764e56b53c2a436eab071%22	http://assets.squarespace.com/universal/styles-compressed/commerce-3521e0fe0f49a15e7694-min.en-US.css	assets.squarespace.com/universal/styles-compressed/commerce-3521e0fe0f49a15e7694-min.en-US.css	(from https://ellipsoid-vibraphone-h3bs.squarespace.com/)
